CreatedDate,Invested_Value
1/21/2021,35851542.89972
1/25/2022,36313248.50218
1/27/2023,31303195.992289998
10/19/2021,42298119.62682
10/19/2022,27547679.594469998
11/11/2020,30648541.25234
11/9/2022,27398899.23447
12/14/2021,37865863.41388
12/16/2022,29325549.33371
2/16/2022,35264218.70534
2/8/2023,36814281.41339
3/16/2022,32170894.04648
3/3/2021,36844182.52508
3/9/2023,36467038.01863
4/1/2021,35953834.80884
4/11/2022,32425965.43659
4/14/2020,22810028.74507
5/19/2020,23233042.55557
5/3/2021,38360999.757530004
6/10/2020,27163567.08855
7/15/2021,40633329.880449995
7/15/2022,29073807.94895
7/16/2020,27892886.21633
8/11/2020,27558371.12937
8/8/2022,31742448.211629998
8/9/2021,41588193.88705
9/14/2022,30627855.98356
9/2/2021,41978652.18545
9/28/2020,29017858.211290002
