Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company,Latitude
JEXYF,4/14/2020,0.889999986,10000,8899.999857,0.396825397,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,5/19/2020,0.889999986,10000,8899.999857,0.396825397,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,6/10/2020,1.210000038,10000,12100.00038,0.396825397,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,7/16/2020,1.149999976,10000,11499.99976,0.396825397,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,8/11/2020,1.080000043,10000,10800.00043,0.396825397,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,9/28/2020,1.120000005,10000,11200.00005,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,11/11/2020,1.059999943,10000,10599.99943,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,1/21/2021,1.200000048,10000,12000.00048,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,3/3/2021,1.200000048,10000,12000.00048,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,4/1/2021,1.25,10000,12500,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,5/3/2021,1.190000057,10000,11900.00057,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,7/15/2021,1.159999967,10000,11599.99967,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,8/9/2021,1.159999967,10000,11599.99967,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,9/2/2021,1.059999943,10000,10599.99943,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,10/19/2021,1,10000,10000,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,12/14/2021,0.980000019,10000,9800.000191,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,1/25/2022,0.980000019,10000,9800.000191,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,2/16/2022,0.99000001,10000,9900.000095,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,3/16/2022,0.949999988,10000,9499.999881,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,4/11/2022,1.00999999,10000,10099.9999,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,7/15/2022,0.970000029,10000,9700.000286,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,8/8/2022,0.889999986,10000,8899.999857,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,9/14/2022,0.889999986,10000,8899.999857,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,10/19/2022,0.800000012,10000,8000.000119,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,11/9/2022,0.800000012,10000,8000.000119,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,12/16/2022,0.860000014,10000,8600.000143,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,1/27/2023,0.860000014,10000,8600.000143,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,2/8/2023,0.959999979,10000,9599.999785,0,,China,Jiangsu Expressway Co Ltd,22.542883
JEXYF,3/9/2023,0.959999979,10000,9599.999785,0,,China,Jiangsu Expressway Co Ltd,22.542883
EUZOF,4/14/2020,42.69049835,10000,426904.9835,0.396825397,GenderEquality,France,Eurazeo SE,48.8172
EUZOF,5/19/2020,43.6875,10000,436875,0.396825397,GenderEquality,France,Eurazeo SE,48.8172
EUZOF,6/10/2020,50.76710129,10000,507671.0129,0.396825397,GenderEquality,France,Eurazeo SE,48.8172
