CreatedDate,ESGScore
1/21/2021,0.5032372599210526
1/25/2022,0.5744569758684211
1/27/2023,0.638053467131579
10/19/2021,0.5649540518947368
10/19/2022,0.6266708439210527
11/11/2020,0.5032372599210526
11/9/2022,0.6266708439210527
12/14/2021,0.5744569758684211
12/16/2022,0.6371136175263158
2/16/2022,0.5744569758684211
2/8/2023,0.638053467131579
3/16/2022,0.5848997494736842
3/3/2021,0.5032372599210526
3/9/2023,0.6589390143157895
4/1/2021,0.5032372599210526
4/11/2022,0.5848997494736842
4/14/2020,0.4927944862894737
5/19/2020,0.5032372598947369
5/3/2021,0.524122807131579
6/10/2020,0.5032372598947369
7/15/2021,0.524122807131579
7/15/2022,0.5848997494736842
7/16/2020,0.5032372598947369
8/11/2020,0.5136800335
8/8/2022,0.5744569758947368
8/9/2021,0.5345655807105263
9/14/2022,0.6266708439210527
9/2/2021,0.5554511279210527
9/28/2020,0.5032372599210526
