CreatedDate,ESGScore
1/21/2021,0.5275632776486486
1/25/2022,0.5899828400540541
1/27/2023,0.6552981554054054
10/19/2021,0.5802230802972973
10/19/2022,0.6328828830000001
11/11/2020,0.5275632776486486
11/9/2022,0.6328828830000001
12/14/2021,0.5899828400540541
12/16/2022,0.6543329044594596
2/16/2022,0.5899828400540541
2/8/2023,0.6552981554054054
3/16/2022,0.6007078507837837
3/3/2021,0.5275632776486486
3/9/2023,0.6767481768378378
4/1/2021,0.5275632776486486
4/11/2022,0.6007078507837837
4/14/2020,0.5168382668918919
5/19/2020,0.5275632776216217
5/3/2021,0.5490132991081081
6/10/2020,0.5275632776216217
7/15/2021,0.5382882883783784
7/15/2022,0.6007078507837837
7/16/2020,0.5275632776216217
8/11/2020,0.5382882883513513
8/8/2022,0.589982840081081
8/9/2021,0.5490132990810811
9/14/2022,0.6328828830000001
9/2/2021,0.5704633205405405
9/28/2020,0.5275632776486486
