,0,1
0,Fossil,0.5
1,Deforestation,0.1
2,Weapons,0.05
3,Gun,0.05
4,Tobacco,0.1
5,Gender Equality,0.1
6,Prison,0.1
7,War,0.1
8,Political,0.1
9,Sealevel,0.1
