CreatedDate,ESGScore
1/21/2021,0.49812610238888894
1/25/2022,0.5733024692222223
1/27/2023,0.640432098888889
10/19/2021,0.5632716050277778
10/19/2022,0.6284171077222223
11/11/2020,0.49812610238888894
11/9/2022,0.6284171077222223
12/14/2021,0.5733024692222223
12/16/2022,0.6394400354166667
2/16/2022,0.5733024692222223
2/8/2023,0.640432098888889
3/16/2022,0.5843253969166667
3/3/2021,0.49812610238888894
3/9/2023,0.66247795425
4/1/2021,0.49812610238888894
4/11/2022,0.5843253969166667
4/14/2020,0.49812610236111116
5/19/2020,0.49812610236111116
5/3/2021,0.5201719577777778
6/10/2020,0.49812610236111116
7/15/2021,0.5201719577777778
7/15/2022,0.5843253969166667
7/16/2020,0.49812610236111116
8/11/2020,0.5091490300555556
8/8/2022,0.5733024692500001
8/9/2021,0.5311948854444445
9/14/2022,0.6284171077222223
9/2/2021,0.5532407408333334
9/28/2020,0.49812610238888894
