,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,24637228.76677,24637228.76677
1,2020-05-19,25081642.59502,25081642.59502
2,2020-06-10,29046667.0975,29046667.0975
3,2020-07-16,29824586.22662,29824586.22662
4,2020-08-11,29495971.10782,29495971.10782
5,2020-09-28,31184758.240539998,31184758.240539998
6,2020-11-11,33097441.26525,33097441.26525
7,2021-01-21,38352542.93212,38352542.93212
8,2021-03-03,39150782.55217,39150782.55217
9,2021-04-01,38167634.81944,38167634.81944
10,2021-05-03,40498999.76418,40498999.76418
11,2021-07-15,42990929.83514,42990929.83514
12,2021-08-09,43951793.8406,43951793.8406
13,2021-09-02,44278152.1978,44278152.1978
14,2021-10-19,44564519.6326,44564519.6326
15,2021-12-14,40075563.36126,40075563.36126
16,2022-01-25,38379948.46834,38379948.46834
17,2022-02-16,37239918.71422,37239918.71422
18,2022-03-16,34114094.0506,34114094.0506
19,2022-04-11,34360765.46297,34360765.46297
20,2022-07-15,31063407.936822,31063407.936822
21,2022-08-08,33674348.18718,33674348.18718
22,2022-09-14,32541056.001422,32541056.001422
23,2022-10-19,29263079.586965002,29263079.586965002
24,2022-11-09,29111399.25357,29111399.25357
25,2022-12-16,31086549.324366998,31086549.324366998
26,2023-01-27,33115595.995847,33115595.995847
27,2023-02-08,38624981.382837996,38624981.382837996
28,2023-03-09,38260738.019844,38260738.019844
29,2023-04-09,38240455.1054349,38274870.95389078
30,2023-05-09,38547876.73464114,38616770.357653365
31,2023-06-09,38538893.05734698,38642253.94393995
32,2023-07-09,38396068.24183182,38533842.67513007
33,2023-08-09,38722811.49400117,38896051.05454003
34,2023-09-09,38920143.064816914,39128924.525130644
35,2023-10-09,39052010.998442344,39295894.3142213
36,2023-11-09,39151173.60556627,39430600.7309535
37,2023-12-09,39285065.78855938,39599764.248662725
38,2024-01-09,39592602.03261135,39944237.68827715
39,2024-02-09,39578284.85987709,39964239.74573089
