CreatedDate,Invested_Value
02-08-2023,223448608.0502
03-03-2021,583489077.46881
03-09-2023,218620682.36331
04-01-2021,598683420.26727
04-11-2022,220024629.31155
05-03-2021,582983068.1245201
06-10-2020,520406074.21146
08-08-2022,216413949.90526
08-09-2021,567265490.1436
08-11-2020,496885948.76433
09-02-2021,685715764.43129
1/21/2021,604729076.36138
1/25/2022,602692834.74457
1/27/2023,218348623.05305
10/19/2021,539217372.68879
10/19/2022,185559429.44897
11-09-2022,191151727.44909
11-11-2020,494704142.41604
12/14/2021,649091938.97272
12/16/2022,203312319.58117
2/16/2022,609237022.41408
3/16/2022,218713987.54646
4/14/2020,461299583.66756
5/19/2020,499931645.83144
7/15/2021,567999035.05141
7/15/2022,196637318.83187
7/16/2020,508039457.87772
9/14/2022,204508159.19722
9/28/2020,501986125.66614
