CreatedDate,ESGScore
1/21/2021,0.49538824548648647
1/25/2022,0.5685328186216216
1/27/2023,0.6338481339729729
10/19/2021,0.558773058864865
10/19/2022,0.6221578722972974
11/11/2020,0.49538824548648647
11/9/2022,0.6221578722972974
12/14/2021,0.5685328186216216
12/16/2022,0.6328828830270271
2/16/2022,0.5685328186216216
2/8/2023,0.6338481339729729
3/16/2022,0.5792578293513514
3/3/2021,0.49538824548648647
3/9/2023,0.6552981554054054
4/1/2021,0.49538824548648647
4/11/2022,0.5792578293513514
4/14/2020,0.4846632347297298
5/19/2020,0.4953882454594594
5/3/2021,0.5168382669459459
6/10/2020,0.4953882454594594
7/15/2021,0.5168382669459459
7/15/2022,0.5792578293513514
7/16/2020,0.4953882454594594
8/11/2020,0.5061132561891892
8/8/2022,0.5685328186486487
8/9/2021,0.5275632776486486
9/14/2022,0.6221578722972974
9/2/2021,0.5490132991081081
9/28/2020,0.49538824548648647
